cluster,cluster_label,drug_name,canonical_drug_id,rank,stad_4tier,target,target_pathway,admet_verdict,safety_score,match_score,matched_keywords,hypothesis
1,immune-enriched EBV/MSI-like STAD cluster,Vinblastine,1004,15,Tier2,Microtubule destabiliser,Mitosis,PASS,7.0,2,tier/admet/context,Vinblastine may fit cluster 1 (immune-enriched EBV/MSI-like STAD cluster) via tier/admet/context.
1,immune-enriched EBV/MSI-like STAD cluster,Vinorelbine,2048,23,Tier2,Microtubule destabiliser,Mitosis,PASS,7.25,2,tier/admet/context,Vinorelbine may fit cluster 1 (immune-enriched EBV/MSI-like STAD cluster) via tier/admet/context.
1,immune-enriched EBV/MSI-like STAD cluster,Bleomycin (50 uM),1378,1,Tier2,dsDNA break induction,DNA replication,WARNING,5.0,1,tier/admet/context,Bleomycin (50 uM) may fit cluster 1 (immune-enriched EBV/MSI-like STAD cluster) via tier/admet/context.
1,immune-enriched EBV/MSI-like STAD cluster,Bleomycin,1812,2,Tier2,dsDNA break induction,DNA replication,WARNING,5.0,1,tier/admet/context,Bleomycin may fit cluster 1 (immune-enriched EBV/MSI-like STAD cluster) via tier/admet/context.
1,immune-enriched EBV/MSI-like STAD cluster,Epirubicin,1511,8,Tier2,Anthracycline,DNA replication,WARNING,4.0,1,tier/admet/context,Epirubicin may fit cluster 1 (immune-enriched EBV/MSI-like STAD cluster) via tier/admet/context.
1,immune-enriched EBV/MSI-like STAD cluster,Rapamycin,1084,24,Tier2,MTORC1,PI3K/MTOR signaling,WARNING,5.5,1,tier/admet/context,Rapamycin may fit cluster 1 (immune-enriched EBV/MSI-like STAD cluster) via tier/admet/context.
1,immune-enriched EBV/MSI-like STAD cluster,Tozasertib,1096,28,Tier2,"AURKA, AURKB, AURKC, others",Mitosis,WARNING,5.0,1,tier/admet/context,Tozasertib may fit cluster 1 (immune-enriched EBV/MSI-like STAD cluster) via tier/admet/context.
2,immune-enriched EBV/MSI-like STAD cluster,Irinotecan,1088,19,Tier1,TOP1,DNA replication,PASS,6.4,3,tier/admet/context,Irinotecan may fit cluster 2 (immune-enriched EBV/MSI-like STAD cluster) via tier/admet/context.
2,immune-enriched EBV/MSI-like STAD cluster,Docetaxel,1819,3,Tier1,Microtubule stabiliser,Mitosis,WARNING,4.25,2,tier/admet/context,Docetaxel may fit cluster 2 (immune-enriched EBV/MSI-like STAD cluster) via tier/admet/context.
2,immune-enriched EBV/MSI-like STAD cluster,Temsirolimus,1016,5,Tier2,MTOR,PI3K/MTOR signaling,WARNING,5.5,2,MSI,Temsirolimus may fit cluster 2 (immune-enriched EBV/MSI-like STAD cluster) via MSI.
2,immune-enriched EBV/MSI-like STAD cluster,Topotecan,1808,6,Tier2,TOP1,DNA replication,PASS,7.5,2,tier/admet/context,Topotecan may fit cluster 2 (immune-enriched EBV/MSI-like STAD cluster) via tier/admet/context.
2,immune-enriched EBV/MSI-like STAD cluster,Paclitaxel,1080,7,Tier1,Microtubule stabiliser,Mitosis,WARNING,4.25,2,tier/admet/context,Paclitaxel may fit cluster 2 (immune-enriched EBV/MSI-like STAD cluster) via tier/admet/context.
2,immune-enriched EBV/MSI-like STAD cluster,Camptothecin,1003,12,Tier2,TOP1,DNA replication,PASS,6.25,2,tier/admet/context,Camptothecin may fit cluster 2 (immune-enriched EBV/MSI-like STAD cluster) via tier/admet/context.
2,immune-enriched EBV/MSI-like STAD cluster,Vinblastine,1004,15,Tier2,Microtubule destabiliser,Mitosis,PASS,7.0,2,tier/admet/context,Vinblastine may fit cluster 2 (immune-enriched EBV/MSI-like STAD cluster) via tier/admet/context.
2,immune-enriched EBV/MSI-like STAD cluster,Vinorelbine,2048,23,Tier2,Microtubule destabiliser,Mitosis,PASS,7.25,2,tier/admet/context,Vinorelbine may fit cluster 2 (immune-enriched EBV/MSI-like STAD cluster) via tier/admet/context.
2,immune-enriched EBV/MSI-like STAD cluster,Bleomycin (50 uM),1378,1,Tier2,dsDNA break induction,DNA replication,WARNING,5.0,1,tier/admet/context,Bleomycin (50 uM) may fit cluster 2 (immune-enriched EBV/MSI-like STAD cluster) via tier/admet/context.
2,immune-enriched EBV/MSI-like STAD cluster,Bleomycin,1812,2,Tier2,dsDNA break induction,DNA replication,WARNING,5.0,1,tier/admet/context,Bleomycin may fit cluster 2 (immune-enriched EBV/MSI-like STAD cluster) via tier/admet/context.
2,immune-enriched EBV/MSI-like STAD cluster,Epirubicin,1511,8,Tier2,Anthracycline,DNA replication,WARNING,4.0,1,tier/admet/context,Epirubicin may fit cluster 2 (immune-enriched EBV/MSI-like STAD cluster) via tier/admet/context.
2,immune-enriched EBV/MSI-like STAD cluster,Rapamycin,1084,24,Tier2,MTORC1,PI3K/MTOR signaling,WARNING,5.5,1,tier/admet/context,Rapamycin may fit cluster 2 (immune-enriched EBV/MSI-like STAD cluster) via tier/admet/context.
2,immune-enriched EBV/MSI-like STAD cluster,Tozasertib,1096,28,Tier2,"AURKA, AURKB, AURKC, others",Mitosis,WARNING,5.0,1,tier/admet/context,Tozasertib may fit cluster 2 (immune-enriched EBV/MSI-like STAD cluster) via tier/admet/context.
