target_text,normalized_target_text,exclusion_reason,mentions,source_breakdown,diseases,example_source_files,notes
"EGFR|ERBB2 EGFR, ERBB2 EGFR signaling EGFR|ERBB2","egfr|erbb2 egfr, erbb2 egfr signaling egfr|erbb2",pathway_or_free_text,4,evidence_target:4,HNSC,HNSC_drug_linkage.csv,pathway/free-text term; requires upstream parsing before protein mapping
HSP90 HSP90 Protein stability and degradation HSP90AA1,hsp90 hsp90 protein stability and degradation hsp90aa1,pathway_or_free_text,4,evidence_target:4,HNSC,HNSC_drug_linkage.csv,pathway/free-text term; requires upstream parsing before protein mapping
Mutant RAS,mutant ras,free_text_or_mechanism,4,evidence_target:4,BRCA,BRCA_drug_linkage.csv,not safe for direct protein structure mapping
Prostacyclin + advanced anti-remodeling,prostacyclin + advanced anti-remodeling,pathway_or_free_text,4,evidence_pathway:4,PAH,PAH_drug_linkage.md,pathway/free-text term; requires upstream parsing before protein mapping
Broad spectrum kinase inhibitor,broad spectrum kinase inhibitor,free_text_or_mechanism,3,candidate_target:3,Colon|Liver|STAD,Colon_final_admet.csv|Liver_final_admet.csv|STAD_final_admet.csv,not safe for direct protein structure mapping
EGFR signaling,egfr signaling,pathway_or_free_text,3,candidate_pathway:3,HNSC,HNSC_final_admet.csv,pathway/free-text term; requires upstream parsing before protein mapping
IGF1R signaling,igf1r signaling,pathway_or_free_text,3,candidate_pathway:1;evidence_pathway:2,PDAC,PDAC_drug_linkage.csv|PDAC_final_admet.csv,pathway/free-text term; requires upstream parsing before protein mapping
p53 pathway,p53 pathway,pathway_or_free_text,3,evidence_pathway:3,BRCA,BRCA_drug_linkage.csv,pathway/free-text term; requires upstream parsing before protein mapping
"AKT1|AKT2 AKT1, AKT2 PI3K/MTOR signaling AKT1|AKT2","akt1|akt2 akt1, akt2 pi3k/mtor signaling akt1|akt2",pathway_or_free_text,2,evidence_target:2,HNSC,HNSC_drug_linkage.csv,pathway/free-text term; requires upstream parsing before protein mapping
"AKT1|AKT2|AKT3 AKT1, AKT2, AKT3 PI3K/MTOR signaling AKT1|AKT2|AKT3","akt1|akt2|akt3 akt1, akt2, akt3 pi3k/mtor signaling akt1|akt2|akt3",pathway_or_free_text,2,evidence_target:2,HNSC,HNSC_drug_linkage.csv,pathway/free-text term; requires upstream parsing before protein mapping
ANTHRACYCLINE Anthracycline DNA replication ANTHRACYCLINE,anthracycline anthracycline dna replication anthracycline,pathway_or_free_text,2,evidence_target:2,HNSC,HNSC_drug_linkage.csv,pathway/free-text term; requires upstream parsing before protein mapping
ANTIMETABOLITE Antimetabolite DNA replication ANTIMETABOLITE,antimetabolite antimetabolite dna replication antimetabolite,pathway_or_free_text,2,evidence_target:2,HNSC,HNSC_drug_linkage.csv,pathway/free-text term; requires upstream parsing before protein mapping
AURKA AURKA Mitosis AURKA,aurka aurka mitosis aurka,pathway_or_free_text,2,evidence_target:2,HNSC,HNSC_drug_linkage.csv,pathway/free-text term; requires upstream parsing before protein mapping
"CAPN1|PROTEASOME Proteasome, CAPN1 Protein stability and degradation CAPN1|PROTEASOME","capn1|proteasome proteasome, capn1 protein stability and degradation capn1|proteasome",pathway_or_free_text,2,evidence_target:2,HNSC,HNSC_drug_linkage.csv,pathway/free-text term; requires upstream parsing before protein mapping
Chromatin histone acetylation,chromatin histone acetylation,free_text_or_mechanism,2,candidate_pathway:2,HNSC,HNSC_final_admet.csv,not safe for direct protein structure mapping
EGFR EGFR EGFR signaling EGFR,egfr egfr egfr signaling egfr,pathway_or_free_text,2,evidence_target:2,HNSC,HNSC_drug_linkage.csv,pathway/free-text term; requires upstream parsing before protein mapping
"EGFR|FGFR1|FLT4|KDR|MET|PDGFR|RON|TIE2|VEGFR3 MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR RTK signaling EGFR|FGFR1|FLT4|KDR|MET|PDGFR|RON|TIE2|VEGFR3","egfr|fgfr1|flt4|kdr|met|pdgfr|ron|tie2|vegfr3 met, kdr, tie2, vegfr3/flt4, ron, pdgfr, fgfr1, egfr rtk signaling egfr|fgfr1|flt4|kdr|met|pdgfr|ron|tie2|vegfr3",pathway_or_free_text,2,evidence_target:2,HNSC,HNSC_drug_linkage.csv,pathway/free-text term; requires upstream parsing before protein mapping
Inflammatory-fibrotic transition,inflammatory-fibrotic transition,pathway_or_free_text,2,evidence_pathway:2,IPF,IPF_drug_linkage.md,pathway/free-text term; requires upstream parsing before protein mapping
IP_receptor,ip_receptor,free_text_or_mechanism,2,candidate_target:2,PAH,PAH_final_admet.csv,not safe for direct protein structure mapping
"MEK1|MEK2 MEK1, MEK2 ERK MAPK signaling MAP2K1|MAP2K2","mek1|mek2 mek1, mek2 erk mapk signaling map2k1|map2k2",pathway_or_free_text,2,evidence_target:2,HNSC,HNSC_drug_linkage.csv,pathway/free-text term; requires upstream parsing before protein mapping
MICROTUBULE DESTABILISER,microtubule destabiliser,non_protein_mechanism,2,evidence_target:2,Liver,Liver_drug_linkage.csv,"drug class, pathway, or biological process, not a single protein"
MICROTUBULE STABILISER,microtubule stabiliser,non_protein_mechanism,2,evidence_target:2,Liver,Liver_drug_linkage.csv,"drug class, pathway, or biological process, not a single protein"
MICROTUBULE STABILISER Microtubule stabiliser Mitosis MICROTUBULESTABILISER,microtubule stabiliser microtubule stabiliser mitosis microtubulestabiliser,pathway_or_free_text,2,evidence_target:2,HNSC,HNSC_drug_linkage.csv,pathway/free-text term; requires upstream parsing before protein mapping
MTOR MTOR PI3K/MTOR signaling MTOR,mtor mtor pi3k/mtor signaling mtor,pathway_or_free_text,2,evidence_target:2,HNSC,HNSC_drug_linkage.csv,pathway/free-text term; requires upstream parsing before protein mapping
"PI3KALPHA|PI3KBETA|PI3KDELTA|PI3KGAMMA PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma PI3K/MTOR signaling PIK3CA|PIK3CB|PIK3CD|PIK3CG","pi3kalpha|pi3kbeta|pi3kdelta|pi3kgamma pi3kalpha, pi3kdelta, pi3kbeta, pi3kgamma pi3k/mtor signaling pik3ca|pik3cb|pik3cd|pik3cg",pathway_or_free_text,2,evidence_target:2,HNSC,HNSC_drug_linkage.csv,pathway/free-text term; requires upstream parsing before protein mapping
"PLK1|PLK2|PLK3 PLK1, PLK2, PLK3 Cell cycle PLK1|PLK2|PLK3","plk1|plk2|plk3 plk1, plk2, plk3 cell cycle plk1|plk2|plk3",pathway_or_free_text,2,evidence_target:2,HNSC,HNSC_drug_linkage.csv,pathway/free-text term; requires upstream parsing before protein mapping
"PLK1|WEE1 WEE1, PLK1 Cell cycle PLK1|WEE1","plk1|wee1 wee1, plk1 cell cycle plk1|wee1",pathway_or_free_text,2,evidence_target:2,HNSC,HNSC_drug_linkage.csv,pathway/free-text term; requires upstream parsing before protein mapping
PROTEASOME Proteasome Protein stability and degradation PROTEASOME,proteasome proteasome protein stability and degradation proteasome,pathway_or_free_text,2,evidence_target:2,HNSC,HNSC_drug_linkage.csv,pathway/free-text term; requires upstream parsing before protein mapping
ANTHRACYCLINE,anthracycline,non_protein_mechanism,1,evidence_target:1,Liver,Liver_drug_linkage.csv,"drug class, pathway, or biological process, not a single protein"
DSDNA BREAK INDUCTION,dsdna break induction,non_protein_mechanism,1,evidence_target:1,Liver,Liver_drug_linkage.csv,"drug class, pathway, or biological process, not a single protein"
PI3K (class 1),pi3k (class 1),free_text_or_mechanism,1,candidate_target:1,LUNG,LUNG_final_admet.csv,not safe for direct protein structure mapping
